Mon, 19 Jul 2021 17:03:04 GMT | INFO | c10.log | Database is connected | 
Mon, 19 Jul 2021 17:20:14 GMT | INFO | c10.log | Database is connected | 
Wed, 28 Jul 2021 20:06:57 GMT | INFO | c10.log | Server running on port 4000 | 
Wed, 28 Jul 2021 20:07:27 GMT | ERROR | c10.log | MongooseServerSelectionError: connect ECONNREFUSED 127.0.0.1:27017 | 
Wed, 28 Jul 2021 20:08:38 GMT | INFO | c10.log | Server running on port 4000 | 
Wed, 28 Jul 2021 20:08:38 GMT | INFO | c10.log | Database is connected | 
Wed, 28 Jul 2021 20:08:43 GMT | INFO | c10.log | Server running on port 4000 | 
Wed, 28 Jul 2021 20:08:43 GMT | INFO | c10.log | Database is connected | 
Wed, 28 Jul 2021 20:11:48 GMT | INFO | c10.log | Server running on port 4000 | 
Wed, 28 Jul 2021 20:11:48 GMT | INFO | c10.log | Database is connected | 
Wed, 28 Jul 2021 20:26:16 GMT | INFO | c10.log | Server running on port 4000 | 
Wed, 28 Jul 2021 20:26:16 GMT | INFO | c10.log | Database is connected | 
Wed, 28 Jul 2021 20:48:02 GMT | INFO | c10.log | Server running on port 4000 | 
Wed, 28 Jul 2021 20:48:02 GMT | INFO | c10.log | Database is connected | 
Wed, 28 Jul 2021 20:51:21 GMT | INFO | c10.log | Server running on port 4000 | 
Wed, 28 Jul 2021 20:51:21 GMT | INFO | c10.log | Database is connected | 
Wed, 28 Jul 2021 20:51:41 GMT | INFO | c10.log | Server running on port 4000 | 
Wed, 28 Jul 2021 20:51:41 GMT | INFO | c10.log | Database is connected | 
Wed, 28 Jul 2021 20:52:36 GMT | INFO | c10.log | Server running on port 4000 | 
Wed, 28 Jul 2021 20:52:36 GMT | INFO | c10.log | Database is connected | 
Wed, 28 Jul 2021 20:53:15 GMT | INFO | c10.log | Server running on port 4000 | 
Wed, 28 Jul 2021 20:53:15 GMT | INFO | c10.log | Database is connected | 
Wed, 28 Jul 2021 20:53:37 GMT | INFO | c10.log | Server running on port 4000 | 
Wed, 28 Jul 2021 20:53:37 GMT | INFO | c10.log | Database is connected | 
Wed, 28 Jul 2021 20:57:02 GMT | INFO | c10.log | Server running on port 4000 | 
Wed, 28 Jul 2021 20:57:02 GMT | INFO | c10.log | Database is connected | 
Wed, 28 Jul 2021 21:03:41 GMT | INFO | c10.log | Server running on port 4000 | 
Wed, 28 Jul 2021 21:03:41 GMT | INFO | c10.log | Database is connected | 
Wed, 28 Jul 2021 21:03:44 GMT | INFO | c10.log | Server running on port 4000 | 
Wed, 28 Jul 2021 21:03:44 GMT | INFO | c10.log | Database is connected | 
Wed, 28 Jul 2021 21:03:58 GMT | INFO | c10.log | Server running on port 4000 | 
Wed, 28 Jul 2021 21:03:59 GMT | INFO | c10.log | Database is connected | 
Wed, 28 Jul 2021 21:16:20 GMT | INFO | c10.log | Server running on port 4000 | 
Wed, 28 Jul 2021 21:16:20 GMT | INFO | c10.log | Database is connected | 
Mon, 29 Nov 2021 23:42:46 GMT | INFO | c10.log | Server running on port 4000 | 
Mon, 29 Nov 2021 23:42:46 GMT | ERROR | c10.log | MongooseError: The `uri` parameter to `openUri()` must be a string, got "undefined". Make sure the first parameter to `mongoose.connect()` or `mongoose.createConnection()` is a string. | 
Mon, 29 Nov 2021 23:45:07 GMT | INFO | c10.log | Server running on port 4000 | 
Mon, 29 Nov 2021 23:45:07 GMT | ERROR | c10.log | MongooseError: The `uri` parameter to `openUri()` must be a string, got "undefined". Make sure the first parameter to `mongoose.connect()` or `mongoose.createConnection()` is a string. | 
Mon, 29 Nov 2021 23:46:26 GMT | INFO | c10.log | Server running on port 4000 | 
Mon, 29 Nov 2021 23:46:26 GMT | ERROR | c10.log | MongooseError: The `uri` parameter to `openUri()` must be a string, got "undefined". Make sure the first parameter to `mongoose.connect()` or `mongoose.createConnection()` is a string. | 
Tue, 30 Nov 2021 00:01:52 GMT | INFO | c10.log | Server running on port 4000 | 
Tue, 30 Nov 2021 00:01:52 GMT | ERROR | c10.log | MongooseError: The `uri` parameter to `openUri()` must be a string, got "undefined". Make sure the first parameter to `mongoose.connect()` or `mongoose.createConnection()` is a string. | 
Tue, 30 Nov 2021 00:02:48 GMT | INFO | c10.log | Server running on port 4000 | 
Tue, 30 Nov 2021 00:02:55 GMT | INFO | c10.log | Database is connected | 
Tue, 30 Nov 2021 00:14:22 GMT | INFO | c10.log | Server running on port 4000 | 
Tue, 30 Nov 2021 00:14:29 GMT | INFO | c10.log | Database is connected | 
Tue, 30 Nov 2021 00:14:46 GMT | INFO | c10.log | Server running on port 4000 | 
Tue, 30 Nov 2021 00:14:48 GMT | INFO | c10.log | Database is connected | 
Tue, 30 Nov 2021 00:15:20 GMT | INFO | c10.log | Server running on port 4000 | 
Tue, 30 Nov 2021 00:15:23 GMT | INFO | c10.log | Database is connected | 
